R_DEST,ARR_T,STOP_NUM,DEP_T,R_ORIGIN,SCH_COST,L_LO,F_TIME,ARR_DAY,ARR_D_WEEK,DEP_DAY,DEP_D_WEEK
SXF,9:45:00,Direct,8:20:00,BRU,29 , 1h 25m, 1h 25m,72 , Sun,72 , Sun
SXF,2:25:00,Direct,1:00:00,BRU,33 , 1h 25m, 1h 25m,72 , Sun,72 , Sun
SXF,10:55:00,Direct,9:30:00,BRU,44 , 1h 25m, 1h 25m,72 , Sun,72 , Sun
SXF,3:10:00,Direct,1:45:00,BRU,48 , 1h 25m, 1h 25m,72 , Sun,72 , Sun
SXF,9:30:00,Direct,8:05:00,BRU,61 , 1h 25m, 1h 25m,72 , Sun,72 , Sun
SXF,9:20:00,1 stop,12:25:00,BRU,437 , 8h 55m, 8h 55m,72 , Sun,72 , Sun
SXF,9:05:00,1 stop,11:35:00,BRU,437 , 9h 30m, 9h 30m,73 , Mon,72 , Sun
SXF,11:00:00,1 stop,11:35:00,BRU,437 , 11h 25m, 11h 25m,73 , Mon,72 , Sun
SXF,1:00:00,1 stop,11:35:00,BRU,437 , 13h 25m, 13h 25m,73 , Mon,72 , Sun
SXF,4:10:00,1 stop,11:35:00,BRU,437 , 16h 35m, 16h 35m,73 , Mon,72 , Sun
ICN,11:20:00,1 stop,12:25:00,BRU,374 , 14h 55m, 14h 55m,75 , Wed,74 , Tue
BCN,7:00:00,1 stop,2:50:00,BRU,191 , 4h 10m, 4h 10m,73 , Mon,73 , Mon
BCN,11:00:00,Direct,9:00:00,BRU,37 , 2h, 2h,76 , Thu,76 , Thu
ICN,5:15:00,1 stop,12:20:00,BRU,418 , 20h 55m, 20h 55m,73 , Mon,72 , Sun
ICN,11:20:00,1 stop,11:35:00,BRU,429 , 27h 45m, 27h 45m,76 , Thu,74 , Tue
ICN,6:35:00,1 stop,1:10:00,BRU,434 , 33h 25m, 33h 25m,76 , Thu,74 , Tue
ICN,10:20:00,2 stops,10:40:00,BRU,439 , 27h 40m, 27h 40m,75 , Wed,74 , Tue
ICN,10:20:00,2 stops,8:05:00,BRU,439 , 30h 15m, 30h 15m,75 , Wed,74 , Tue
ICN,10:20:00,2 stops,6:35:00,BRU,439 , 31h 45m, 31h 45m,75 , Wed,74 , Tue
BCN,11:05:00,1 stop,5:55:00,BRU,191 , 5h 10m, 5h 10m,73 , Mon,73 , Mon
BCN,10:25:00,1 stop,6:35:00,BRU,219 , 3h 50m, 3h 50m,73 , Mon,73 , Mon
BCN,4:30:00,1 stop,10:40:00,BRU,219 , 5h 50m, 5h 50m,73 , Mon,73 , Mon
BCN,12:30:00,1 stop,6:35:00,BRU,219 , 5h 55m, 5h 55m,73 , Mon,73 , Mon
BCN,7:40:00,Direct,5:40:00,BRU,31 , 2h, 2h,74 , Tue,74 , Tue
BCN,3:25:00,Direct,1:25:00,BRU,46 , 2h, 2h,76 , Thu,76 , Thu
BCN,7:40:00,Direct,5:40:00,BRU,46 , 2h, 2h,76 , Thu,76 , Thu
BCN,8:55:00,Direct,7:05:00,BRU,58 , 1h 50m, 1h 50m,76 , Thu,76 , Thu
BCN,11:10:00,Direct,9:00:00,BRU,61 , 2h 10m, 2h 10m,76 , Thu,76 , Thu
BCN,3:15:00,Direct,1:20:00,BRU,76 , 1h 55m, 1h 55m,76 , Thu,76 , Thu
BCN,12:00:00,Direct,10:00:00,BRU,89 , 2h, 2h,76 , Thu,76 , Thu
