R_DEST,ARR_T,STOP_NUM,DEP_T,R_ORIGIN,SCH_COST,ARR_DAY,ARR_D_WEEK,DEP_DAY,DEP_D_WEEK,F_TIME
BCN,13:50:00,2 stops,15:10:00,ICN,570 ,17, Fri,16, Thu, 30:40
BCN,13:50:00,2 stops,13:05:00,ICN,570 ,17, Fri,16, Thu, 32:45
BCN,23:05:00,2 stops,23:25:00,ICN,575 ,17, Fri,16, Thu, 31:40
BCN,16:30:00,2 stops,23:25:00,ICN,582 ,18, Sat,16, Thu, 49:5
BCN,9:35:00,1 stop,13:05:00,ICN,585 ,17, Fri,16, Thu, 28:30
BCN,9:35:00,1 stop,18:10:00,ICN,634 ,17, Fri,16, Thu, 23:25
BCN,9:35:00,1 stop,15:10:00,ICN,634 ,17, Fri,16, Thu, 26:25
BCN,12:30:00,2 stops,16:15:00,ICN,658 ,17, Fri,16, Thu, 28:15
BCN,11:20:00,2 stops,16:15:00,ICN,666 ,17, Fri,16, Thu, 27:5
BCN,23:05:00,2 stops,18:55:00,ICN,733 ,17, Fri,16, Thu, 36:10
CDG,6:40:00,1 stop,10:55:00,ICN,379 ,13, Mon,12, Sun, 27:45
CDG,9:10:00,1 stop,13:20:00,ICN,496 ,15, Wed,14, Tue, 27:50
CDG,17:45:00,1 stop,18:10:00,ICN,426 ,17, Fri,16, Thu, 31:35
CDG,17:45:00,1 stop,15:10:00,ICN,426 ,17, Fri,16, Thu, 34:35
CDG,17:45:00,1 stop,13:05:00,ICN,426 ,17, Fri,16, Thu, 36:40
CDG,6:40:00,1 stop,16:15:00,ICN,383 ,13, Mon,12, Sun, 22:25
CDG,6:40:00,1 stop,14:45:00,ICN,383 ,13, Mon,12, Sun, 23:55
CDG,10:45:00,1 stop,13:10:00,ICN,451 ,13, Mon,12, Sun, 29:35
CDG,20:55:00,1 stop,13:10:00,ICN,453 ,12, Sun,12, Sun, 15:45
CDG,16:45:00,1 stop,13:10:00,ICN,453 ,13, Mon,12, Sun, 35:35
CDG,17:45:00,1 stop,13:05:00,ICN,426 ,14, Tue,13, Mon, 36:40
CDG,8:15:00,2 stops,16:15:00,ICN,486 ,14, Tue,13, Mon, 24:00
CDG,17:45:00,1 stop,18:10:00,ICN,426 ,16, Thu,15, Wed, 31:35
CDG,17:45:00,1 stop,15:10:00,ICN,426 ,16, Thu,15, Wed, 34:35
CDG,17:45:00,1 stop,13:35:00,ICN,426 ,16, Thu,15, Wed, 36:10
CDG,17:45:00,1 stop,13:05:00,ICN,426 ,16, Thu,15, Wed, 36:40
CDG,10:25:00,2 stops,19:00:00,ICN,528 ,16, Thu,15, Wed, 23:25
CDG,21:50:00,1 stop,13:10:00,ICN,547 ,15, Wed,15, Wed, 16:40
CDG,21:50:00,1 stop,13:20:00,ICN,501 ,14, Tue,14, Tue, 16:30
CDG,11:55:00,1 stop,13:20:00,ICN,501 ,15, Wed,14, Tue, 30:35
CDG,17:50:00,1 stop,13:20:00,ICN,501 ,15, Wed,14, Tue, 36:30
CDG,9:00:00,2 stops,19:00:00,ICN,512 ,15, Wed,14, Tue, 22:00
CDG,20:55:00,1 stop,13:20:00,ICN,550 ,14, Tue,14, Tue, 15:35
CDG,16:45:00,1 stop,13:20:00,ICN,553 ,15, Wed,14, Tue, 35:25
CDG,9:00:00,2 stops,19:00:00,ICN,512 ,17, Fri,16, Thu, 22:00
CDG,16:55:00,2 stops,13:00:00,ICN,563 ,17, Fri,16, Thu, 35:55
CDG,16:55:00,2 stops,13:00:00,ICN,563 ,17, Fri,16, Thu, 35:55
CDG,15:00:00,1 stop,13:10:00,ICN,456 ,13, Mon,12, Sun, 33:50
CDG,17:45:00,1 stop,18:10:00,ICN,487 ,14, Tue,13, Mon, 31:35
CDG,17:45:00,1 stop,15:10:00,ICN,487 ,14, Tue,13, Mon, 34:35
CDG,9:10:00,1 stop,13:10:00,ICN,550 ,14, Tue,13, Mon, 28:00
CDG,11:55:00,1 stop,13:10:00,ICN,550 ,14, Tue,13, Mon, 30:45
CDG,9:10:00,1 stop,13:10:00,ICN,547 ,16, Thu,15, Wed, 28:00
CDG,11:55:00,1 stop,13:10:00,ICN,550 ,16, Thu,15, Wed, 30:45
CDG,9:00:00,2 stops,18:10:00,ICN,570 ,15, Wed,14, Tue, 22:50
CDG,21:15:00,1 stop,9:35:00,ICN,592 ,14, Tue,14, Tue, 19:40
CDG,10:45:00,1 stop,13:20:00,ICN,599 ,15, Wed,14, Tue, 29:25
CDG,17:50:00,1 stop,13:10:00,ICN,550 ,14, Tue,13, Mon, 36:40
LHR,14:30:00,1 stop,16:15:00,ICN,332 ,15, Wed,14, Tue, 31:15
LHR,14:30:00,1 stop,10:55:00,ICN,298 ,13, Mon,12, Sun, 36:35
LHR,14:30:00,1 stop,16:15:00,ICN,381 ,14, Tue,13, Mon, 31:15
LHR,17:50:00,1 stop,18:10:00,ICN,395 ,16, Thu,15, Wed, 32:40
LHR,14:30:00,1 stop,14:45:00,ICN,332 ,15, Wed,14, Tue, 32:45
LHR,14:30:00,1 stop,10:55:00,ICN,332 ,15, Wed,14, Tue, 36:35
LHR,15:55:00,1 stop,18:10:00,ICN,395 ,15, Wed,14, Tue, 30:45
